Name,Price,Charts,Change,Market cap,Trade,Volume (24h),Supply
BitcoinBTC,"€32,386.09",,0.93%,€631.0B,€15.2B,19.5M,Trade
EthereumETH,"€1,696.75",,1.36%,€203.6B,€6.1B,120.3M,Trade
TetherUSDT,€0.94,,0.12%,€79.8B,€27.2B,84.6B,Trade
BNBBNB,€213.19,,1.13%,€32.3B,€280.3M,151.7M,Trade
XRPXRP,€0.56,,1.83%,€29.9B,€2.1B,53.6B,Trade
USDCUSDC,€0.94,,,€23.5B,€3.3B,24.9B,Trade
SolanaSOL,€34.12,,4.14%,€14.3B,€1.2B,419.3M,Trade
CardanoADA,€0.28,,2.75%,€9.7B,€255.1M,35.2B,Trade
DogecoinDOGE,€0.0648,,2.00%,€9.2B,€379.6M,141.6B,Trade
TRONTRX,€0.0907,,0.77%,€8.0B,€232.8M,88.8B,Trade
ToncoinTON,€2.12,,6.36%,€7.2B,€61.2M,3.4B,Trade
ChainlinkLINK,€10.65,,1.21%,€5.9B,€737.6M,556.8M,Trade
PolygonMATIC,€0.60,,1.26%,€5.5B,€275.7M,9.2B,Trade
PolkadotDOT,€4.13,,1.58%,€5.4B,€205.2M,1.3B,Trade
Wrapped BitcoinWBTC,"€32,344.84",,0.78%,€5.3B,€123.7M,163.8K,Trade
DaiDAI,€0.94,,0.11%,€5.0B,€133.0M,5.3B,Trade
LitecoinLTC,€65.50,,0.08%,€4.8B,€295.4M,73.8M,Trade
Bitcoin CashBCH,€229.09,,1.56%,€4.5B,€155.3M,19.5M,Trade
SHIBA INUSHIB,€0.00000737,,2.56%,€4.3B,€131.9M,589.3T,Trade
AvalancheAVAX,€10.72,,1.49%,€3.8B,€228.7M,355.1M,Trade
UNUS SED LEOLEO,€3.73,,0.23%,€3.5B,€478.1K,928.7M,Trade
Stellar LumensXLM,€0.11,,1.50%,€3.2B,€149.0M,27.9B,Trade
TrueUSDTUSD,€0.94,,0.13%,€3.2B,€227.2M,3.3B,Trade
MoneroXMR,€160.72,,2.08%,€2.9B,€88.9M,18.4M,
CosmosATOM,€7.53,,7.10%,€2.8B,€230.3M,372.3M,Trade
OKBOKB,€42.60,,0.37%,€2.6B,€2.8M,60.0M,Trade
Ethereum ClassicETC,€16.33,,2.76%,€2.3B,€270.2M,143.8M,Trade
UniswapUNI,€3.91,,0.58%,€2.3B,€117.8M,588.2M,Trade
Aave UNI V2aUNIv2,€3.91,,1.38%,€2.3B,€117.9M,588.2M,Trade
Binance USDBUSD,€0.94,,0.09%,€1.9B,€431.9M,2.0B,Trade
BitcoinBTC,"€32,403.28",,0.93%,€631.8B,€15.2B,19.5M,Trade
EthereumETH,"€1,697.58",,1.36%,€203.6B,€6.1B,120.3M,Trade
